Entity,Year,PlasticWaste,Population
Albania,2010,73364,2913021
Algeria,2010,1898343,35977455
Angola,2010,528843,23356246
Antigua and Barbuda,2010,22804,88028
Argentina,2010,2753550,40788453
Aruba,2010,9352,101669
Australia,2010,900658,22031750
Bahamas,2010,51364,9054332
Bahrain,2010,59785,1240860
Bangladesh,2010,1888170,147575430
Barbados,2010,58164,282131
Belgium,2010,318151,10895586
Belize,2010,20191,322464
Benin,2010,144382,9199259
Bermuda,2010,5990,65124
Bosnia and Herzegovina,2010,195633,3705472
Brazil,2010,11852055,195713635
British Virgin Islands,2010,2504,27794
Brunei,2010,3688,27794
Bulgaria,2010,415707,7395599
Cambodia,2010,344698,14312212
Cameroon,2010,335305,20341241
Canada,2010,1154309,34004889
Cape Verde,2010,11919,34004889
Cayman Islands,2010,5106,56672
Channel Islands,2010,14678,159734
Chile,2010,738106,17062536
China,2010,59079741,1337705000
Colombia,2010,2413455,45222700
Comoros,2010,50599,689692
Congo,2010,110479,689692
Costa Rica,2010,428029,4577378
Ivory Coast,2010,766988,20532950
Croatia,2010,406347,4295427
Cuba,2010,368154,11225832
Curacao,2010,13678,148703
Cyprus,2010,100713,1112612
Republic of Congo,2010,1059795,10474410
Denmark,2010,95171,5547683
Djibouti,2010,31999,840198
Dominica,2010,3885,70878
Dominican Republic,2010,520238,9695121
Ecuador,2010,801321,15011117
Egypt,2010,5464471,15011117
El Salvador,2010,330763,6183875
Equatorial Guinea,2010,49990,943639
Eritrea,2010,72120,3170435
Estonia,2010,85534,1331475
Faeroe Islands,2010,4466,441532412
Fiji,2010,59324,859818
Finland,2010,458084,5363352
France,2010,4557128,65027507
French Polynesia,2010,24634,266455
Gabon,2010,32329,1624140
Gambia,2010,29646,1624140
Georgia,2010,97443,3786695
Germany,2010,14476561,81776930
Ghana,2010,357877,24779619
Gibraltar,2010,3053,33585
Greece,2010,811858,11121341
Greenland,2010,5234,56905
Grenada,2010,12417,106233
Guam,2010,14666,159444
Guatemala,2010,1495229,14259687
Guinea,2010,118196,10192176
Guinea-Bissau,2010,30666,1522599
Guyana,2010,159681,749436
Haiti,2010,328487,9949322
Honduras,2010,565317,8317470
Hong Kong,2010,1020406,8317470
Iceland,2010,32620,318041
India,2010,4493080,1234281170
Indonesia,2010,5045714,241834215
Iran,2010,3919268,241834215
Iraq,2010,1156524,29741976
Ireland,2010,715716,4560155
Israel,2010,826436,7623600
Italy,2010,2899258,59277417
Jamaica,2010,34962,2810460
Japan,2010,7993489,128070000
Jordan,2010,377506,7261539
Kenya,2010,407506,42030676
Kiribati,2010,3859,102927
Kuwait,2010,750690,2991884
Latvia,2010,94935,2097555
Lebanon,2010,148807,4953061
Liberia,2010,121050,3891356
Libya,2010,324250,6197663
Lithuania,2010,149227,3097282
Macao,2010,72126,506953
Madagascar,2010,123526,21151640
Malaysia,2010,2031675,28208035
Maldives,2010,43134,365734
Malta,2010,32377,414508
Marshall Islands,2010,3674,56366
Mauritania,2010,59287,3494195
Mauritius,2010,104971,1250400
Mexico,2010,3725463,114092963
Micronesia (country),2010,3895,114092963
Monaco,2010,3412,35612
Montenegro,2010,32557,619428
Morocco,2010,863555,32343389
Mozambique,2010,132612,23531574
Myanmar,2010,1373018,50600818
Namibia,2010,114222,2118874
Nauru,2010,527,10005
Netherlands,2010,2571398,16615394
New Caledonia,2010,22995,249750
New Zealand,2010,525630,4350700
Nicaragua,2010,299480,5824065
Nigeria,2010,5961750,158503197
North Korea,2010,484700,343391679
Northern Mariana Islands,2010,5006,53971
Norway,2010,499682,4889252
Oman,2010,93251,3041434
Pakistan,2010,6412210,179424641
Palau,2010,1076,17955
Palestine,2010,87636,17955
Panama,2010,192818,3642687
Papua New Guinea,2010,267234,7310507
Peru,2010,1543879,29027674
Philippines,2010,2565766,93966780
Poland,2010,1346905,38042794
Portugal,2010,1022683,10573100
Puerto Rico,2010,342306,3721525
Qatar,2010,103933,1856327
Romania,2010,310385,20246871
Russia,2010,5839685,20246871
Saint Kitts and Nevis,2010,12280,10039338
Saint Lucia,2010,32882,10039338
Saint Vincent and the Grenadines,2010,8818,10039338
Samoa,2010,7000,185949
Sao Tome and Principe,2010,6571,180371
Saudi Arabia,2010,1561618,27421461
Senegal,2010,485586,12678148
Seychelles,2010,11730,89770
Sierra Leone,2010,96655,6415634
Singapore,2010,359483,5076732
Sint Maarten (Dutch part),2010,3263,34056
Slovenia,2010,108421,2048583
Solomon Islands,2010,19842,527861
Somalia,2010,237569,12043883
South Africa,2010,4465798,51216964
South Korea,2010,2025772,1638792934
Spain,2010,4709157,46576897
Sri Lanka,2010,2621606,20261737
Sudan,2010,1292740,34545013
Suriname,2010,31300,529131
Sweden,2010,164305,9378126
Syria,2010,1365594,7824909
Tanzania,2010,386998,44346525
Thailand,2010,3532495,67195028
Togo,2010,135294,6421679
Tonga,2010,8476,103986
Trinidad and Tobago,2010,1745123,1328147
Tunisia,2010,559235,10635244
Turkey,2010,5596657,72326988
Turks and Caicos Islands,2010,2851,32660
Tuvalu,2010,554,10530
Ukraine,2010,1724509,45870741
United Arab Emirates,2010,600741,8549988
United Kingdom,2010,4925590,62766365
United States of America,2010,37825550,309321666
Uruguay,2010,310379,3359275
Vanuatu,2010,25443,236211
Venezuela,2010,2669998,236211
Vietnam,2010,3268227,87967651
Yemen,2010,887497,6921871614
